Industry,Ticker,Weight,DTD,WTD,MTD,YTD,Since Launch,DTD_contribution,WTD_contribution,MTD_contribution,YTD_contribution,SinceLaunch_contribution,sector_DTD_contribution,sector_WTD_contribution,sector_MTD_contribution,sector_YTD_contribution,sector_SinceLaunch_contribution
Infrastructure,GTLB,0.011383844994234,0.0247106112109984,0.0247106112109984,0.0114260706864854,-0.1831410820634484,-0.1316732647282686,0.0002813017677387867,0.0002813017677387867,0.00013007261758811065,-0.002084849690286585,-0.0014989480355513487,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Semi,ANET,0.0125614554808636,-0.01639639656883,-0.01639639656883,0.1098978335328038,-0.006785488177717,0.3201454729614428,-0.00020596260554594273,-0.00020596260554594273,0.0013804767433656738,-8.523560766031836e-05,0.004021493106005185,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Application,APP,0.0140132532144745,-0.0441598515300751,-0.0441598515300751,0.0395319060918955,0.0808140521659017,3.3247250547411173,-0.0006188231814045416,-0.0006188231814045416,0.0005539706101165586,0.001132467776288532,0.046590214060594874,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Infrastructure,PLTR,0.026919312212567,-0.0179194023468116,-0.0179194023468116,0.1407255561611742,0.9710434052340492,4.204958467216246,-0.0004823779864364273,-0.0004823779864364273,0.0037882351825897793,0.026139820597449587,0.1131945898198713,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,NBIS,0.0290474384887321,-0.0259690784435655,-0.0259690784435655,0.0139136738051015,0.841516134172126,1.5504999160766602,-0.0007543352086985275,-0.0007543352086985275,0.00040415658400596893,0.024443888144640456,0.045038050939021065,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,RBLX,0.022365964128118,-0.0345381771225525,-0.0345381771225525,0.1942374081071092,1.0774282004887774,2.0208593662368144,-0.000772479630573595,-0.000772479630573595,0.004344306902062221,0.024097720482754725,0.04519846809322387,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Application,NOW,0.0246830837566667,0.0025627632189273,0.0025627632189273,-0.0489381442789064,-0.0922065430802429,0.3026651998247194,6.32568991812873e-05,6.32568991812873e-05,-0.0012079443141320859,-0.002275941825762332,0.007470710477501813,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Infrastructure,PANW,0.0125472713354028,-0.0157595010922692,-0.0157595010922692,-0.0043020857153471,0.0811716227121144,0.2148326093716135,-0.00019773873631527845,-0.00019773873631527845,-5.3979436778620514e-05,0.0010184823749038439,0.002695563041478233,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Semi,NVDA,0.0455853805733825,-0.0253822265117222,-0.0253822265117222,0.0895629188141859,0.2440015005553213,0.3798230800186177,-0.0011570584553366556,-0.0011570584553366556,0.004082759739407625,0.011122901263290724,0.017314379653203003,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Application,META,0.0709505792917767,-0.0114450446440036,-0.0114450446440036,-0.0200355575922672,0.2057519499639766,0.4862315867780349,-0.0008120325475123016,-0.0008120325475123016,-0.0014215344176051125,0.014598220040356795,0.03449841275186137,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,MU,0.0113190074255485,-0.0354146605788731,-0.0354146605788731,-0.0956836005271631,0.3006789919533474,-0.0657233980303922,-0.00040085880606554437,-0.00040085880606554437,-0.0010830433848701756,0.003403387742626377,-0.000743923630338289,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Application,CRM,0.024998873873807,0.0049946529079256,0.0049946529079256,-0.0305983862754739,-0.2090963673884958,0.0719228631067483,0.00012486069808867543,0.00012486069808867543,-0.0007649251992425992,-0.005227173715816218,0.0017979905834486873,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Application,SAP,0.0202876010568434,-0.0031893139707386,-0.0031893139707386,0.018657762424485,0.2440193338724718,0.5529585518424005,-6.470352948336184e-05,-6.470352948336184e-05,0.000378521240681315,0.004950566895761382,0.011218202500748481,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Infrastructure,SNOW,0.0186182636362605,-0.0157662601099652,-0.0157662601099652,-0.0172246200846274,0.3745871055379293,0.6347042974928061,-0.00029354038728518955,-0.00029354038728518955,-0.0003206925177700205,0.006974161485648903,0.011817091941788578,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,SHOP,0.0162018846634312,-0.0367514899983224,-0.0367514899983224,0.0979852764262334,0.1634533711476151,0.9602281395665402,-0.0005954434021620648,-0.0005954434021620648,0.0015875461473722576,0.0026482526671826726,0.0155575055678382,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,QCOM,0.0086820916973549,-0.0061646582374903,-0.0061646582374903,-0.0088455988538868,0.040203422714458,-0.1566798900966973,-5.352212810074503e-05,-5.352212810074503e-05,-7.679830036746261e-05,0.00034904980255444525,-0.001360309172951014,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Infrastructure,ESTC,0.0167339978358198,0.0056412371670089,0.0056412371670089,0.0434834479686863,-0.1183892121533756,-0.2150431395370202,9.440045054407315e-05,9.440045054407315e-05,0.0007276519242019793,-0.001981124819958998,-0.003598531431620391,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,PSTG,0.0115290396045673,-0.0212243311716714,-0.0212243311716714,0.0105034046275964,-0.0916490483500922,-0.0661087993797397,-0.00024469615465865186,-0.00024469615465865186,0.00012109416793435435,-0.0010566255081491164,-0.0007621709662594131,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,ORCL,0.027266467689021,-0.0222961025928976,-0.0222961025928976,0.089769595461689,0.4406008383761239,0.7431103430865504,-0.0006079359609403398,-0.0006079359609403398,0.0024476997741126293,0.012013628523338146,0.020261994159146736,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,ADBE,0.0176141270290523,0.0141155421692544,0.0141155421692544,-0.0490436385794172,-0.1614869091062319,-0.3303941609679692,0.00024863295285319146,0.00024863295285319146,-0.0008638608799047846,-0.002844450930526191,-0.005819604720946963,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Semi,000660.KS,0.0193070552354956,-0.0146788990825688,-0.0146788990825688,-0.0595446584938703,,0.2761114957862478,-0.00028340631538342146,-0.00028340631538342146,-0.001149632010519876,,0.005330899900300396,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Semi,AAPL,0.0308782318412225,0.0090361361424693,0.0090361361424693,0.0316619494772716,-0.1417731164952522,-0.0391529507018511,0.000279019906756017,0.000279019906756017,0.000977665016504266,-0.004377703159993043,-0.0012089738890397133,-0.0035522199003941617,-0.0035522199003941617,0.007718678390132119,0.01966777489453176,0.05424168879138088
Infrastructure,DDOG,0.0188573169329794,-0.0026158523551756,-0.0026158523551756,0.0949142098148616,0.0139967808002166,0.219407505148814,-4.9327956911426885e-05,-4.9327956911426885e-05,0.0017898273359221492,0.0002639417315911255,0.004137436862065495,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,TSLA,0.0237539035332112,0.0110201078413521,0.0110201078413521,0.1044195230911544,-0.1776198782606763,0.3325442003161962,0.0002617705785890621,0.0002617705785890621,0.0024803712784912013,-0.004219165453784822,0.007899222854839787,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,MDB,0.014242365739793,0.0092467270742775,0.0092467270742775,0.0885993276919852,-0.0365748871566623,-0.0913344616084189,0.00013169526888790622,0.00013169526888790622,0.0012618640292890232,-0.0005209129197768421,-0.0013008188068741845,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,TEAM,0.0124702377755366,0.0209919830121536,0.0209919830121536,-0.0446295506852055,-0.1846495255969974,0.1268597135922793,0.00026177501954158044,0.00026177501954158044,-0.000556541108859875,-0.0023026234893345895,0.0015819707926321952,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
Infrastructure,NET,0.0212844081997654,-0.0364582911374874,-0.0364582911374874,0.0302784871366219,0.7695951199082489,1.4267703922346515,-0.000775993150836171,-0.000775993150836171,0.0006444596798872063,0.01638037668067457,0.030367963435661713,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Infrastructure,GOOGL,0.0338496916194668,0.006522831112903,0.006522831112903,0.0881483184873113,0.013165614031062,0.082035358842567,0.00022079582165762999,0.00022079582165762999,0.002983793397570032,0.00044565197493237385,0.002776871598713192,-0.0031861926033117426,-0.0031861926033117426,0.018864850886456848,0.1351709053608024,0.39463864461293907
Application,IOT,0.014362485867042,-0.0099607091196959,-0.0099607091196959,-0.035495388025143,-0.1355000767916306,0.0684583334682236,-0.00014306054395734873,-0.00014306054395734873,-0.0005098020088562882,-0.0019461179379029001,0.0009832318469186097,-0.0011542352311572895,-0.0011542352311572895,0.0001398687289279315,0.04635206028002071,0.18354680267717027
