Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Ticker,Type,Industry,Weight
0.39126438873881425,0.2886127649826987,1.286375496111789,-0.1912220477212658,SAP,Holding,Application,0.020287601056843466
0.23006176296527914,0.2926626667513514,0.717760708248276,-0.26350249444963536,AIQ,Comparison ETF,,0.0
0.3958493839786111,0.4664755921707433,0.8057214359911022,-0.32290694259868025,SNOW,Holding,Infrastructure,0.018618263636260585
0.33592419493882164,0.6039496306814127,0.5230969254544898,-0.4053824078466358,SHOP,Holding,Application,0.016201884663431296
0.11928796924996689,0.3074086561828859,0.32298364816017977,-0.27169469056549267,IGV,Comparison ETF,,0.0
0.05614140670800616,0.3884030201037945,0.09305130196554069,-0.2873184681464102,QCOM,Holding,Semi,0.008682091697354965
-0.2581037191867033,0.5260495722210506,-0.5286644717008565,-0.3770380495961171,ESTC,Holding,Infrastructure,0.016733997835819883
0.23575231344273576,0.5935958950846987,0.36346665337358947,-0.4862512243454109,PSTG,Holding,Infrastructure,0.01152903960456739
0.5357517808073851,0.4868873171213761,1.05928366312079,-0.35539587981536164,ORCL,Holding,Infrastructure,0.027266467689021096
0.23153874748747386,0.35408574652935837,0.5974223745545051,-0.3182565735297023,WTAI,Comparison ETF,,0.0
0.10894446770025772,1.0413737435563961,0.08541070701139766,-0.6896762575887593,RBOT,Comparison ETF,,0.0
-0.43180981753323067,0.3610170209444674,-1.2514917339665523,-0.38512733924765963,ADBE,Holding,Application,0.017614127029052393
0.8777723174739949,0.48092405348726036,1.7835920479629683,-0.2644546992959484,000660.KS,Holding,Semi,0.01930705523549569
-0.12263374539591627,0.36076851611663235,-0.3953608450406033,-0.33360518814967355,AAPL,Holding,Semi,0.030878231841222556
-0.0043058933391522435,0.45111639551416116,-0.053879427972130196,-0.48413873021899057,DDOG,Holding,Infrastructure,0.01885731693297944
0.17934317747410952,0.30751199403448937,0.5181689838616123,-0.29958979485518156,AIAI.L,Comparison ETF,,0.0
0.17771158344966,0.32062927193095186,0.4918814258594066,-0.2988047742710629,THNQ,Comparison ETF,,0.0
0.16963525166135857,0.7214703979318869,0.2074031756400426,-0.5376568011858518,TSLA,Holding,Infrastructure,0.023753903533211287
-0.35005322143409534,0.6386872734108825,-0.5793965792645933,-0.5834404247864127,MDB,Holding,Infrastructure,0.014242365739793098
-0.3133398093581383,0.5498387789964505,-0.6062500901928749,-0.43073018223796455,TEAM,Holding,Application,0.01247023777553667
0.11170515970527295,0.3229691783595889,0.28394399791044406,-0.2855402097938682,IGPT,Comparison ETF,,0.0
1.0686235044827237,0.5539982615080667,1.8928281500887971,-0.4499716610138546,NET,Holding,Infrastructure,0.02128440819976547
0.232724311122542,0.34061603883708125,0.6245281691631948,-0.2980586991028071,GOOGL,Holding,Infrastructure,0.0338496916194668
0.11467468148486265,0.3715121616218764,0.2548360222490433,-0.33100936175431706,LRNZ,Comparison ETF,,0.0
-0.429346387495798,0.5219116444507207,-0.8609625638238192,-0.45111549233937964,IOT,Holding,Application,0.014362485867042094
